gene_id,SRR3033249,SRR3033250,SRR3033251,SRR3033252,SRR3033253,SRR3033254,SRR3033255,SRR3033256,SRR3033257,SRR3033258,SRR3033259,SRR3033260,SRR3033261,SRR3033262,SRR3033263,SRR3033264,SRR3033265,SRR3033266,SRR3033267,SRR3033268,SRR3033269,SRR3033270,SRR3033271,SRR3033272,SRR3033273
LOC102653849,0.00,0.39,0.41,1.03,0.63,0.00,0.25,0.29,0.78,0.00,0.25,0.22,0.60,0.00,0.17,0.00,0.00,0.00,0.37,0.00,0.17,0.22,0.00,0.00,0.00
LOC102653848,0.64,1.29,4.80,0.00,1.39,1.60,0.55,0.00,0.67,5.36,1.11,0.48,1.31,2.76,0.38,3.24,0.66,0.84,1.09,1.02,1.84,1.42,1.61,0.00,0.34
LOC412931,8.89,22.47,12.28,7.70,8.63,11.95,4.26,10.45,4.49,16.05,15.98,9.97,12.78,10.66,15.71,17.60,9.79,16.13,18.57,27.57,25.37,15.33,12.00,15.98,10.70
LOC412932,4.60,5.05,10.31,2.39,1.65,2.38,1.55,1.79,2.29,7.21,3.74,2.37,2.16,12.34,17.33,8.11,11.62,10.53,8.38,24.36,36.11,23.36,4.88,2.93,3.65
LOC412933,26.18,30.31,58.12,22.20,26.68,36.45,14.16,24.24,13.01,22.98,27.44,22.91,19.05,18.88,35.78,25.30,18.16,29.84,33.05,37.64,39.60,25.74,23.36,30.22,22.97
LOC107965914,53.35,40.51,28.42,38.52,56.68,50.69,24.44,48.37,45.21,35.02,51.61,32.17,99.81,23.58,57.85,60.74,24.40,35.72,36.07,22.18,39.98,21.48,42.60,36.84,47.79
LOC408337,18.46,19.51,32.42,21.72,27.53,20.64,18.77,10.75,23.29,44.61,19.85,15.02,24.47,24.25,9.12,26.24,35.29,26.34,20.73,26.81,44.19,48.62,20.37,10.36,19.01
LOC408336,13.43,23.41,22.63,12.35,11.73,12.49,8.29,16.62,12.99,17.32,19.02,11.42,14.39,17.09,20.34,18.60,18.55,19.36,22.62,31.05,36.27,33.38,16.81,16.36,15.36
LOC408331,48.11,78.03,93.16,89.25,75.53,95.25,55.73,36.29,89.86,109.18,86.95,74.83,85.70,61.57,28.64,99.75,60.93,67.31,57.54,59.51,58.60,52.82,84.65,55.37,78.92
LOC408333,10.09,14.87,34.59,12.21,14.55,10.25,9.29,6.18,12.29,20.41,13.39,8.15,14.96,15.28,6.34,19.88,19.39,12.05,13.08,20.21,28.98,23.58,12.12,7.48,9.81
LOC408332,9.32,12.29,21.00,9.47,9.79,12.19,9.26,7.57,10.59,14.91,12.26,8.83,13.38,12.55,9.05,15.12,13.62,11.36,12.87,16.03,22.79,21.52,14.82,11.01,10.69
LOC411231,7.54,17.01,16.04,6.28,8.46,8.60,3.15,7.73,5.15,12.50,12.81,6.76,13.25,12.50,16.91,13.34,12.39,15.84,12.11,22.51,18.84,12.51,7.03,11.72,7.13
LOC408339,1.27,1.60,1.75,0.65,0.59,0.95,0.30,0.63,1.02,1.33,0.61,0.36,0.71,0.73,2.13,1.41,2.13,0.91,0.99,2.13,1.65,2.63,0.53,0.38,0.59
LOC726540,4.38,9.74,16.10,3.92,5.62,4.04,2.48,4.29,5.70,8.60,6.99,4.34,7.49,13.38,7.09,8.68,9.51,8.04,8.02,15.05,20.65,16.75,8.57,5.26,5.30
LOC409325,11.15,16.19,17.84,10.04,14.13,14.75,7.05,6.72,10.10,19.11,14.05,10.13,10.29,15.45,4.44,21.86,14.47,16.65,18.45,24.94,27.47,20.96,14.40,10.95,12.92
